视频cid,弹幕内容
42950339,还真有一点说到我的心理
42950339,就是说一家人要整整齐齐要抓一起抓，神逻辑
42950339,我签着玩而已
42950339,顶不住了吧
42950339,朝令夕改
42950339,我感觉是怕老婆233333333
42950339,非法入境对吗？
42950339,都是玩玩
42950339,好，我复习完了
42950339,真香
42950339,真香
42950339,下次拆墙
42950339,P图大神块上
42950339,这就有点夸张了，说精神损伤
42950339,不过，的确是，非法的啊…唉，亡羊补牢都没那么容易
42950339,说好的人权高于主权呢？23333出尔反尔，公知快适应不了美帝的变化了！
42950339,是的，把孩子也送离美国
42950339,所以你们为什么要非法入境？
42950339,非法入境的必须全收
42950339,然后把父母也遣送回去了
42950339,那人权组织你还参不参加？
42950339,但是他们获得了美式自由啊！
42950339,噗噗噗
42950339,这是炒作吗 前后这么一弄  
42950339,圣母
42950339,一家人就要整整齐齐
42950339,您还有听人劝的时候呐？？？？
42950339,真香
42950339,演戏，以退为进，高
42950339,哈哈哈，特朗普政策
42950339,特朗普政策就是笑话
42950339,川普完成了党的目标  加速美国“复兴”
42950339,别怂啊！
42950339,为日后反美利坚合众国种下了罪恶的种子
42950339,父母真爱他们就回到自己的国家照顾孩子，
42950339,非法入境在先，这就和你犯罪了把你和孩子隔开一样，你要承担犯罪的后果
42950339,美墨边境长城还建吗？
42950339,美帝带路党
42950339,不说夸张一点我们这些专家怎么混饭吃啊！
42950339,你反对骨肉分离，那就给你骨肉相连
42950339,票蛆培养者
42950339,一起到国境外相聚
42950339,这种行为不是电影里的大反派吗
42950339,非法移民还有理了，川普别怂啊
42950339,多签几次字呗，反正笔不贵
42950339,骨肉相连
42950339,本来就是，就不该非法越境
42950339,自打嘴脸
42950339,这就是民主的作用【滑稽】
42950339,不是走投无路，谁会非法入境？
42950339,更大，更强壮
42950339,干嘛推出
42950339,啪啪啪
42950339,非法越境，还要承担各种风险，为什么还非要去呢
42950339,谁愿意难民来我们国家
42950339,特简直极品
42950339,真香
42950339,实行骨肉相连举措
42950339,小孩送回去不就行了？
42950339,这词汇。。。就不能换个高逼格的词嘛
42950339,你就瞎逼逼啥都知道了？ 造谣一张嘴 随你怎么说？ 
42950339,骨肉相连(｡ì _ í｡)
42950339,你们管人家是不是非法入境，反正这不人权，人权大于天知不知道by.美国民众
42950339,滚！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
42950339,长城修好了吗？？？
42950339,特朗普就会那几句话，各种very
42950339,人口太多 就该战争了。跟雪国列车一个道理
42950339,说不知道为什么偷渡的，你们可以去了解下墨西哥的状况
42950339,川普做视频跟玩一样，想到什么干什么，都不考虑后果
42950339,特朗普又可以吹半年
42950339,骨肉相连
42950339,孩子是美国公民啊，他要骨肉分离那就损害了公民利益，被怼正常
42950339,一起送回去不行吗
42950339,所以孩子一起驱逐出境
42950339,骨肉分离举措
42950339,送走黑人
42950339,沙笔，鉴定完毕
42950339,学过变脸吧这总桶
42950339,前面那个说别人小粉红的，不觉得你这独角戏唱的好可怜吗？小戏精
42950339,还人权？有人权？孩子没有人权？
42950339,那你别看啊，点进来干什么。是你内政吗？
42950339,一家人就应该整整齐齐的，全部走吧
42950339,特朗普没做错
42950339,特朗普没做错
42950339,这次站川普，这些非法移民想道德绑架，一点逻辑也没有，回到你的第三世界就能骨肉团聚了
42950339,自油
42950339,这俩年没少干事
42950339,不要总是非法移民，别国老偷渡我国怎么办？不要打感情牌
42950339,美国人傻
42950339,特朗普这一举措我不认为有错，美国媒体傻
42950339,所以别小孩子也一起驱逐了吧，非法入境你还有理了？
42950339,看你能当多久
42950339,和平奖！和平奖！（滑稽
42950339,当不好就不要当 侮辱
42950339,坏人好人我全要当！
42950339,社会是在进步的，你拿以前和现在比没意义，关键是现在的中国会不会这么做。
42950339,让母子全部出境
42950339,顶不住压力了吧
42950339,呵呵，这是自己打自己脸么
42950339,有权利都不知道怎么显摆了，天天闹着玩
42950339,非法移民的都是很贫穷的人才会选择非法移民 苦了大人也不能苦了孩子 所以把小孩放在美国不让他们回去跟父母一起受苦
42950339,真香
42950339,因为川建国，我们提前超越美国
42950339,白左迟早有一天会付出他们根本付不起的代价。
42950339,朝令夕改阔以的
42950339,什么菜
42950339,你当不了多久的美国总统了
42950339,伤害到一部分人的利益，毕竟黑工的工资低
42950339,没个性啊   大人物做错了还想改
42950339,以后哪个信他   
42950339,翻脸比翻书还快
42950339,真香
42950339,呵呵专家。。
42950339,其实没人带孩子很麻烦，又不能丢了
42950339,王境泽定理
42950339,签名不错
42950339,特朗普自己干的好事
42950339,难民啊，回去更惨
42950339,我要是美国人我也支持川普
42950339,移民问题牵涉到美国立国之本的问题，是美国独有的法理问题
42950339,我终究还是成为了我讨厌的人
42950339,一家人就应该整整齐齐一起走
42950339,骨肉相连？？？？
196601820,什么年代的假新闻，旁边的人好像不认识哦
196601820,呵呵
196601820,这个记者没了
196601820,我可以  你不行
196601820,这不自由
13478571,第一
13478571,2333
13478571,哈哈。日本哭了
13478571,卧槽。。环球时报。。。
13478571,UP主真的是环球？
13478571,头上一个爱心
13478571,日本要炸
13478571,李家坡人民也在瑟瑟发抖
13478571,心电图
13478571,啪啪啪打脸
13478571,此处应有UC
13478571,卧槽？
13478571,安倍 :汪汪汪汪汪(´இ皿இ｀)
13478571,安倍：汪汪汪？？？
13478571,旁边这个是普利巴斯？没想到是个地中海啊
13478571,安倍被打脸
13478571,感谢川普为中国人民做出的贡献23333
13478571,中国当新爸爸。哈哈
13478571,背景是打脸的声音
13478571,日本boom
13478571,日本汪的一声就哭了
13478571,我现在应该笑么？？？2333
13539103,这照相声……
13539103,第一
13539103,加油咯 川普
13539103,偷渡客表示我们都是走地道的…
13539103,立flag
13539103,现在花钱毫不手软
13539103,我们挖地道啊
13539103,敢不敢授权警察拘捕、遣返所有非法移民（无公民权、绿卡者）
13539103,前
13539103,美德等西方国家为什么非法移民禁不住？1资本需要 2劳动力不足
13539103,所以中国什么时候劳动力不足了我们也需要非法移民
13539103,所以伟大光荣正确的党计划生育政策，你们懂的
13539103,1
13539103,未知领域♂
13539103,前四年不会有战争
13539103,墨西哥人会挖洞，强没有用
13539103,墨西哥:谢谢了
13539103,算了一下 写个名字看了一下时间 写个名字十秒钟
13539103,写名十秒钟
13539103,地上五米，地下五千米
13539103,墨西哥:我有句话不知当讲不
13539103,woshidijishuai
13539103,1
13539103,川普守信，执行力也简直了
13539103,我在想美国的预算问题
13539103,等等钱谁出
13539103,签字的气派不错
13539103,基建拉动GDP
13539103,美帝：不准讲，给老子憋着！
13539103,墨西哥政府当然不会受影响，反而方便管理移民
13539103,倒霉的是偷渡者
13539103,你是低级帅
13539103,小伙，知道运输船吗？
13539103,前所未有的烂
13539103,先把第二宪法修正案改了再说
13539103,Build the wall!！
13539103,我在你家门口建了堵墙，然后说这是因为我们关系非常好23333
13539103,这些超发的货币不外流，美国早崩溃了
13539103,说到做到！够爷们
13539103,效率真高！
13539103,运输船的，知道海豹突击队还兼职海警么
13539103,感情你是把墨西哥当成日本和韩国了……
13539103, ww
13539103,良民
13539103,嗯其实都是美国人
13539103,大家快来看我睁眼说瞎话
13539103,啪啪啪
13539103,想太多了
13539103,我曹，川普上任一天干的事比奥黑八年还多啊
13539103,gay里gay气
13539103,找中建吗？川王
13539103,服 通过政策跟点决议似的
13539103,妈的  山寨我们的长城
13539103,墨西哥：川普谢（n）谢（m）你（b）
13539103,那么说好的上任第一天就宣布中国为汇率操纵国呢？
13539103,良民！大大的良民
13539103,很好接着作死吧川王
13539103,严打吗？、
13539103,建墙设卡收过路费。。。
13539103,加油你是最棒的！
13539103,好做作的语音语调手势，跟太监公公仪的杨子
13539103,希望下一个议案是侦办希拉里...
13539103,想起九头蛇
13539103,←山寨长城的泥垢23333
13539103,知道地道么？
13539103,找中建啊
13539103,川普是典型的没有能力，完全靠堵，我不知道他怎么解决接下来的矛盾
13539103,键盘p民还谈美国总统，搞笑吗
13539103,建个长城吧！上面能看到对面的敌人
13539103,真不明白美国人的脑回路，这是建墙能够解决的吗
13539103,边境本来就有铁栅栏分界，现在就是再搞搞
13539103,战忽局，长城同志
13539103,挖地道不便宜
13539103,从墨西哥进口商品抽高额税收
13539103,gta哈哈哈
13539103,老妹可没钱赶走所有非法移民
13539103,这一耳光很多人老实了，害怕他被杀，
13539103,他改变了美国
13539103,柏林墙，机枪、铁丝网、地雷、狙击手……
13539103,第二个希特勒
13539103,有VPN啊
13539103,美利坚的大救星
13539103,这是我见过明珠郭嘉效率最高的一届政府
13539103,北美都是你的 还在说这些 扯淡
13539103,说实话如果我是美国人也支持床破
13539103,这个鼓掌的时机和长度跟国内没区别呀
13539103,第二个墨索里尼
13539103,诚实守信
13539103,闭关锁国
13539103,美国法案规定总统不许对竞争对手动手 
13539103,中国工程队 可靠 真的 床王
13539103,找中交中建中铁啊~
13539103,前所未有的紧张
13539103,这也太口语化了。。。
13539103,把长城修到美国去！！
13539103,说得好，所以墨西哥总统宣布取消双方会面拒绝卖单。
13539103,看提词板？
13539103,外包给中国基建吗？
13539103,加油，鹿小葵。23333333
13539103,天朝西部的收费站十年就回本了
13539103,心电图式签名，当然慢
13539103,船王真帅
13539103,中国施工队
13539103,大锤80，小锤40
13539103,让墨西哥人民奋发图强的墙
13539103,墨西哥:卧槽∑(￣□￣;)
13539103,change！
13539103,一个种族歧视的总统
13539103,找中铁吗？川普
13539103,建的时候有G D P，拆的时候也有G D P，这套路学的
13539103,万事俱备只欠钱
13539103,我在白宫修长城
13539103,这个b当总统不出5年天下必乱
13539103,合作就是我们建墙你给钱
13539103,我在白宫修长城
13539103,建墙难道不是为了刺激就业？
13539103,真有必要23333333........
13539103,the gay
13539103,领带中国制造
13539103,第二个东条英机
13539103,讲道理，人家挖隧道，你有啥办法
13539103,让我想到了大清的闭关锁国
13539103,川酱！醒醒！起来搬砖建长城了！
13539103,有钱修床，不能把钱还还吗？
13539103,修墙可以带来就业啊
13539103,我在白宫修长城
13539103,兄弟，选我们吧！便宜质量好！
13539103,要帮忙不
13539103,墨西哥那破地儿 不如韩国和日本~
13539103,有个疑问，根据美国的效率，川普卸任前能建好吗
13539103,话说我们的长城除了观光貌似没有以上作用啊
13539103,这很b站
13539103,厉害，说到做到
13539103,前面第2个墨索里尼的点赞
13539103,明显对两国都有好处
13539103,美国要阻止非法移民流入
13539103,我在白宫修长城233333
13539103,美国中产
13539103,他是房地产商出身的吧 _(:з」∠)_
13539103,人家怎么说也是亿万富翁，美国总统，你们真的以为他没长脑袋啊
13539103,这钱要墨西哥来掏
13539103,老规矩，中国和日本出钱呗
13539103,长城同志好
13539103,自己拉的屎自己不处理往隔壁扫
13539103,中国不缺人，别忘了二胎政策依旧是计划生育
13539103,帅
13539103,都建墙了。。。关系还能好吗。。。
13539103,川普这届建了   然后下一任再拆了
13539103,非法移民？!印第安人：“你们就合法了？！”
13539103,进击的鹰酱。。。
13539103,兰花指哈哈哈哈哈
13539103,什么时候把华尔街赶出去啊，把美联储归还到人民手上啊
13539103,这么一个怎么听都像gay的人当总统  咱还担心啥
13539103,嗯！ 没毛病老铁！ 烧只鹰酱给毛熊
13539103,美国请中国工程队建墙，墨西哥请中国工程队挖洞
13539103,黑墨绿那个卵样，本来就适合被歧视，好吃懒做野蛮残忍
13539103,赞
13539103,说川普没能力的，你图样
13539103,我们也有墙，哈哈
13539103,难道要发一波良民证？
13539103,我们的墙是虚拟的，他们的墙是真实的
13539103,使用年龄多久，有没有2000年？
13539103,墙要多高啊，低的话，一把梯子就够了
13539103,扫黑打非
13539103,种族歧视！
13539103,川普沉稳多了呢﻿⊙▽⊙
13539103,连我这种吃瓜群众都知道建这种物理墙没什么用啦。
13539103,我记得美国的土地貌似本来也不是这些白人的吧。
13539103,偷渡者本来就是非法，有什么倒霉好说
13539103,机关枪扫射吧！！！
13539103,建长城干嘛
13539103,卸任前能建好么
13539103,估计找自己的房地产公司去建
13539103,然而美国一大部分地是墨西哥的。。
13539103,老床，来找中建吧
13539103,看着英文 突然有点被洗脑
13539103,俢给下任拆迁的
13539103,美国第二，耶！
13539103,南方公园将会有十季的素材
13539103,你打算建多高，想过来的，还是能过来！！！
13539103,感觉这个封面图片跟当初普京参加外交大使葬礼的照片有一拼
13539103,装备弄多少米
13539103,声音前期我以为在打麻将
13539103,墨西哥经济其实也还不错 
13539103,然后暴力街区就诞生了
13539103,the gay is over
13539103,我也支持你，#手动滑稽
13539103,柏林墙就是这个立思田心
13539103,他改变了美国
13539103,墨西哥这种国家存在意义就是大家在比烂的时候有个标杆而已！
13539103,川信川疑
13539103,墨西哥孟姜女不相信眼泪
13539103,川普：我们也要有太空中也能看到的墙。
13539103,暴力街区的哈哈哈
13539103,你确定你们白皮是合法获得这块地的？
13539103,这照相机的声音跟枪声一样
13539103,修长城，找中国，给你打个9折
13539103,这川普算是极右？
13539103,就你们国家最乱
13539103,什么b总统
13539103,唯美国主义者
13539103,没办法，他是总统给他面子，啪啪啪
13539103,墨西哥：墨西哥你也有好处，
13539103,欢迎收看美国土木工程系列：我在边境修城墙
13539103,美:我帮你们建墙，所以要给我们钱
13539103,加油··
13539103,记得叫中国施工队·你们干不了
13539103,需要水泥钢筋吗，8折
13539103,建墙是表一个态度，以前没墙，意思就是，非法移民随便进
13539103,美国靠近墨西哥的那几个州，治安真的是。。。
13539103,长城在古代帮助中国抵抗了多少次匈奴的进攻现在没用了，难道要拆掉吗？
13539103,不可能叫中国施工队，川普是搞地产的自己家就有
13539103,加州治安很好啊
13539103,我们卖点挖掘机给小墨
13539103,下次太空造个墙
13539103,都是墙国，一个网络虚拟 ，一个真实的墙。
13539103,0
221579304,TX又下锅了，拭目以待
221579304,淦
221579304,川宝也太好了吧，帮助祖国抵制苹果手机 i了i了
221579304,66
221579304,腾讯今年 哈哈 遇到好多硬骨头
221579304,郑智化：？？
221579304,那可太好了、禁止了的话，国外华人全部换国产手机
221579304,希望腾讯硬起来，不做软骨头
221579304,.
221579304,、
221579304,南山必胜客，希望你继续保持，别跪！！！
221579304,打吧
221579304,坚哥给他个小眼神
221579304,在外留学生要哭了，聊不了天，
221579304,（美国企业）
221517192,特没普
221458786,来个弹幕吧
221553100,老国家安全了
221553100,他们的道德一直在底层啊，怎么再滑坡啊
221553100,老自食其果了
221553100,说半天说不出所以然
196307105,我天他的白眼圈
196307105,驰名双标
196307105,带墨镜晒太阳留的痕迹
196307105,哈哈哈哈
196307105,删我推特=毁我玉玺
196307105,仔细看，其实他的皮肤是黄的
196307105,哈哈哈哈哈哈哈哈哈哈
196307105,哈哈哈哈哈哈哈哈
196307105,川宝 妈妈爱你
196307105,实话实说
196307105,川普皇
196307105,你的世界还有什么是真的
196307105,突然就言论不自由了老特
196307105,国王
196307105,Fake news
196307105,hhhhh哈哈哈哈哈哈哈哈哈哈哈哈哈
196307105,黄皮肤
196307105,Fake news 
196307105,↓建国同志，你胸前的红领巾呢？
196307105,睚眦必报啊
196307105,保护我方川宝
196307105,灯塔国，从上到下，真的少
196307105,不能删的，治国利器
196307105,神一般得了的逻辑
196307105,保护我方建国爱豆，不让观察者网失业！
196307105,fake news next
196307105,不删就卖
196307105,没人比我更懂删除
196307105,老fake了
196307105,没人比我更懂立法
196307105,fake news everyday
196307105,白眼圈戴墨镜戴的
196307105,？？？？？？？？？？？？
196307105,肤色应该是美黑吧
196307105,这是真话
196307105,川宝生气了
196307105,删推2333333？？？
196307105,这个背景音乐越听越滑稽
196307105,这一点也不新闻字由
196307105,哈哈哈
196307105,哈哈哈哈哈哈哈哈
196307105,好像丑角
196307105,狐狸尾巴，藏不住的
196307105,fake
196307105,权利私用ilil
196307105,懂王
196307105,删了怎么治国？！！！！
196307105,删了怎么治国？！
196307105,删了无法治国啊！
196307105,没了推特你还懂治国吗？
196307105,Great！！
196307105,推特治国
196307105,还现场谈法治了，卧槽
196307105,fake
196307105,fake news
196307105,删推特＝破坏治国根本
196307105,一
196307105,三
196307105,二一
196307105,没推特还怎么治国
196307105,fake news
196307105,梅开几度
196307105,实话实说，从黑中国的新闻已经看出来了
196307105,川普的肤色总觉得有点迷啊？
196307105,互相fake！
196307105,大家一起fake啊，谁怕谁！
196307105,他的眼睛是不是有病啊？
196307105,眼睛真丑
196307105,哈哈哈
196307105,真实
196307105,秀啊
196307105,没有比我更懂撤了不撤
196307105,哈哈哈哈哈哈哈哈
196307105,国家底层已经成了一锅粥，您还在这里说相声……
196307105,保护我方川建国
196307105,666
196307105,来了来了！
196307105,普普的眼睛怎么了，我的天啊
196307105,为什么他的眼圈这么特别？
196307105,以权谋私啊
196307105,bgm
196307105,666666
196307105,推特治国
196307105,哈哈哈，记者是真的，但新闻是假的
196307105,O(∩_∩)O哈哈~记者是真的，但新闻是假额的
196307105,见 证 历 史
196307105,下次还喝啥叫上兄弟啊
196307105,建国:你在教我做事啊？
196307105,牛皮
196307105,我觉得建国每次出面后都用紫外线杀毒？
196307105,Fake news
196307105,白头鹰
196307105,？？
196307105,哈哈哈哈哈
196307105,fake news
196307105,白眼圈
196307105,这标签，人才啊
196307105,白眼圈越来越重了
196307105,今天的白眼圈咋白中透黑呢？
196307105,一点也不自由了。
196307105,白眼圈就离谱
196307105,CHINA!
196307105,他的脸已经不像是白种人了
196307105,白眼奸诈
196307105,老fake news了
196307105,fake news
196307105,fake  news！
196307105,fake news
196307105,当场理发
196307105,团徽？？哈哈哈暴露了啊
196307105,当代faker
196307105,懂懂懂
196307105,现场立法
196307105,fake news
196307105,特朗普的推锅能力优秀，逻辑也是独具一格。
196307105,懂王
196307105,秀
196307105,他的眼圈是真实肤色，死人一样，脸色的肤色是美黑
196307105,fake news
196307105,没有红领巾，是第二层
196307105,fake news
196307105,哈哈哈哈哈哈哈哈
196307105,白眼圈
196307105,你可以搞个USCTV嘛
196307105,噗哈哈哈哈这……
196307105,哈哈哈哈哈哈哈哈哈哈哈哈
196307105,实诚人川建国
196307105,你眼睛好白啊
196307105,经典句式
196307105,fake news
196307105,神奇的眼圈
196307105,fake news
196307105,握草，你想媒体公正？那他们还怎么赞美你？
196307105,白眼圈好耀眼哈哈
196307105,灰眼圈
196307105,fake news
196307105,哈哈哈哈哈哈哈哈哈哈
196307105,fake
196307105,这标签妙啊
196307105,民疯蠢普
196307105,？？？
196307105,见证历史
196307105,fack
196307105,白眼圈像是画上去的hhh
196307105,fake news
196307105,fake news
196307105,fake  news
196307105,这是睡太多，出现的白眼圈吗？
196307105,虽然我是一介商人，但没人比我更懂法律
196307105,文明观猴
196307105,fake news都不利于我啊
196307105,爷青结
196307105,fake news
196307105,都这么大年纪了好好退休不好嘛！
196307105,真是黄皮啊
196307105,哈哈哈哈
196307105,川总的发型好评！shi
196307105,推特有自动化筛查，因为特朗普的推特经常自相矛盾所以被标记了
196307105,freedom
196307105,还有时间晒日光浴
196307105,指着推特治国的呢，删，你让他删
196307105,没人比我更懂删账号
196307105,还指着推特治国呢，删 你让他删
196307105,h
196307105,Facke news
196307105,这家伙看着怎么这么讨厌
196307105,好嫌他
196307105,你教叫我做事?
196307105,今天的川普忘记带红领巾了(滑稽)
196307105,没有人比我更懂私人恩怨
196307105,没有人比我更懂解决私人恩怨
196307105,Fake news
196307105,川普答题格式：没有什么比我……更……
196307105,Fake news 
196307105,那就说明一个也没有，包括福克斯
196307105,fake
196307105,懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂
196307105,红领巾更鲜艳了呢
196307105,我为什么忽然听不懂他在说什么？？？
196307105,真真假假，假假真真，真真假假，假假真真，真真假假，假假真真
196307105,一个有神经病的人
196307105,东 德 蓝 领 巾
196307105,没有……更…句式是特靠谱的口头禅啊！！
196307105,fake  news!
196307105,加油
196307105,你的眼睛要炸了，建国同志
196307105,人老了自然色素沉淀，国内的老人不也一脸古铜色
196307105,没人比我更懂
196307105,绝
196307105,不愧是川普
196307105,肤色还不简单么，带着太阳镜猛晒太阳或者是紫外线灯
196307105,越看越可爱 我完了
196307105,hreat beat
196307105,白眼圈
196307105,哈哈哈哈哈哈哈哈哈哈或或或或或
196307105,注意没有…比…标准发言格式
196307105,没推特怎样治國
196307105,熊貓
196307105,川皇这是要清君侧，诸侯们明白了吗？
196307105,正道的光
196307105,黄种人？
196307105,公正
196307105,fox？
196307105,川普：没有人比我更会用推特
196307105,这个角度，好像小丑
196307105,魔怔了
196307105,没人比我更懂甩锅
196307105,美国国王
196307105,fake news
196307105,哈哈哈哈哈哈哈哈哈
196307105,这！！！请选择你的英雄
196307105,这话我自己说出来都质疑我自己
196307105,美黑带了墨镜
196307105,福克斯新闻你忘了吗
196307105,这是你的小弟啊
196307105,我第一次见白眼圈
196307105,标准格式
196307105,这是真话
196307105,那是白眼圈
196307105,他说话的方式像罗永浩
196307105,？？？？？
196307105,老特越来越黄了？
196307105,世界小吃哦7
196307105,世界小丑 天天和媒体斗嘴为乐
196307105,666
196307105,没人比我更懂新闻
196307105,难道这就是熊猫
196307105,熊猫
196307105,规范句型:没人比我……记住要考的
196307105,勉强能冲
196307105,这是句真心话
196307105,"老BGM,老假新闻了"
196307105,哈哈哈
196307105,每日那个等等
196307105,为什么要闭着眼睛说话
196307105,fake news！
196307105,fake news
196307105,白眼圈好重
196307105,没有人比我更懂删推特
196307105,Fake News
196307105,戴墨镜晒太阳
196307105,懂王，哈哈哈哈
196307105,建国，委屈你了
196307105,美国是您私人公司吗
196307105,笑死了
196307105,黑到发财白的眼圈
196307105,白眼圈
196307105,打假斗士
196307105,哈哈哈哈哈哈哈哈
196307105,可爱
196307105,说的倒是实话
196307105,不是，为什么这么黄？
196307105,？
196307105,晒太阳带墨镜就变这样了
196307105,特朗普上任前，问奥巴马遇到危机怎么办。奥巴马说：“简单，我给你四个锦囊，遇到困难你挨个打开就行了。”特朗普上任后很快遭到了执政危机，他打开第一个锦囊，上面写着“甩锅给俄罗斯”。特朗普照做了
196307105,泪目
196307105,fake news
196307105,白眼圏=白眼狼
196307105,Fox News!
196307105,这个我同意
196307105,没人比我更懂删推特
196307105,美国传统，想要啥立个法律就合法正当了！
196307105,这人怎么不像特朗普？
196307105,twitter还不够假？
196307105,？他眼睛咋了
196307105,限量版肤色
196307105,建国在呼唤新华网
196307105,这是真话
196307105,睁开眼说话
196307105,戴眼镜晒太阳？
196307105,你是不是对自由有什么误解？
196307105,哈哈哈哈哈哈哈哈
196307105,特朗普带墨镜在海边晒皮肤了吗
196307105,带墨镜戴的
196307105,是不是都向着他才叫公正？
196307105,fake news!
196307105,懂
196307105,白眼圈是墨镜的原因
196307105,特朗普是黑色吧
196307105,呵呵
196307105,确实
196307105,你在教我做事情？
196307105,fake news！
196307105,你们不行，我来上
196307105,明白人唉，建国
196307105,没人比我更懂删除账号
196307105,Fake news
196307105,老小孩……
196307105,川宝放心飞，妈妈爱你
