手机名,价格,店铺位置,店铺名,销量
【至高减200元】小米10青春版5G手机50倍变焦xiaomi10青春正品,2299.0,上海,天猫超市,230
分期免息Apple/苹果 iPhone XR 国行全新双卡苹果X 苹果XsMax手机,2860.0,广东深圳,新西兰小镇特卡波,107
当天发红米k30纪念手机官网Xiaomi/小米 Redmi K30 至尊纪念版5享,1727.27,四川成都,春江哥,539
分期免息Apple/苹果 iPhone XR 苹果iphone x xs max双卡国行手机,2828.0,上海,随风飞扬y,1542
Apple/苹果iPhone 11#移动联通电信全网通4G智能手机 中国电信官方旗舰店 国行 原装 备,4509.0,江苏南京,中国电信官方旗舰店,25
【 国行正品 现货速发】 Xiaomi/小米 红米note8pro 拍照游戏手机redminote8pro官方旗舰店正品小米10Pro新品,1199.0,江苏南京,翼天下天翼电信旗舰店,284
【5G手机 24期分期】Huawei/华为 nova 7 Pro5G手机全网通nova6华为5g手机mate30官网官方旗舰店正品7SEP40,3699.0,安徽合肥,小淘器数码专营店,393
分期Apple/苹果 iPhone X 美版国行苹果xs max全新手机xr8X手机XS,2000.0,北京,陈娜5218,2311
当天发/送心率手环 红米Redmi K30至尊纪念版5G小米手机官方旗舰店10pro游戏5g官网redmi k30i至尊版10x,2248.0,广东深圳,博盛景数码专营店,352
【全新原封国行】Apple/苹果 iPhone 11全网手机正规发票三期免息,1979.01,广东深圳,朗多数码,171
当天发【咨询优惠/送手环】xiaomi/小米 Redmi K30 Pro变焦版手机小米官方旗舰店5G正品redmik30i官网米10pro,2568.0,广东深圳,博盛景数码专营店,278
Apple/苹果 iPhone 11 Pro Max 苹果11pro 美版正品国行双卡手机,5950.0,上海,联合精品小店,817
直降新品华为P40Huawei/华为 p40 pro 5G手机官方正品全新p40PRO,2885.11,河南郑州,云腾数码商城,70
vivo iQOO Z1x新5g手机iqoo z1x手机vivoz1x z5x z6iqooz1 zi iooqz1x iq00z1 z1x手机ipooz1 vivo官方旗舰店,1598.0,广东东莞,首佳誉数码专营店,3314
[百亿补贴内测专享链接]Apple/苹果iPhone 11全网通4G手机 国行se原装8p XS苹果11天翼官网方旗舰店11promax,5449.0,江苏南京,翼天下天翼电信旗舰店,893
当天发货【3期免息】Huawei/华为nova7 SE 5G手机官方旗舰店正品华为手机p40pro直降nova6新款mate30荣耀9x8,2399.0,北京,京联通达数码旗舰店,1123
【限时特惠 | 领券至高省700元】Smartisan/锤子坚果Pro3 高通骁龙855Plus大电池四摄智能手机官方旗舰店,2599.0,广东深圳,坚果手机旗舰店,469
Apple/苹果 iPhone 11 新款iphone11国行美版 苹果11 pro max手机,3438.16,广东深圳,数码科技1628_1628,933
vivo iQOOU1新款vivoiqoou1手机iqoou1 ui vivou1 vivou3x u3vivoz5x z5z3z3iz1z1x y3 y7sy5svivo官方旗舰店,1198.0,广东东莞,首佳誉数码专营店,2711
当天发【限时送好礼】红米K30Pro手机xiaomi/小米 Redmi K30 Pro变焦版5G手机官方旗舰店小米手机10青春官网8,2699.0,广东深圳,深蓝港数码旗舰店,79
正品骁龙865全网通5G游戏智能手机学生价送小米oppo华为vivo耳机,588.0,广东广州,东盛购物网88,5500
Apple/苹果 iPhone XS Max 全新iphonexsmax正品XMAX美版苹果手机,3850.0,广东深圳,腾飞新生活,546
【送天猫精灵】OPPO A8 oppoa8手机新款上市oppoa5 a11 a9 oppok5 k3 k7 r15x官方正品旗舰a1 a3 a5 oppo手机,999.0,广东深圳,oppo普天精诚专卖店,1089
华硕ROG游戏手机3 5G骁龙865plus败家之眼电竞玩家国度华硕rog3代,3778.62,广东深圳,中宽通讯行,78
新款速发 Huawei/华为 nova 7 5G手机全面屏6400万四摄麒麟985智能手机官方旗舰店华为nova7 Pro正品,2999.0,广东深圳,品麦手机专营店,255
分期免息 Apple/苹果 iPhone 8 Plus 全新国行4g全网通苹果8p手机,1700.0,广东深圳,潮流3号线,218
【6+128G到手价1399】顺丰当天发下单送耳机realme真我X50m 5G学生手机骁龙765G 中国移动官旗 5g双模手机,1399.0,浙江杭州,中国移动官方旗舰店,484
新品Xiaomi/小米 Redmi K30 至尊纪念版红米k30pro手机尊享5g正品,1908.0,河南郑州,鲁信数码科技公司,1042
【99划算节享6+64G直降150】Huawei/华为畅享10 大内存智能手机 华为手机 4800万智能手机华为官方旗舰店,1199.0,广东深圳,华为官方旗舰店,35000
【限时低至2699】华为/荣耀30 5G智能手机50倍远摄麒麟985芯片快充正品官方旗舰店,2699.0,江苏南京,苏宁易购官方旗舰店,2816
【新品上市】Huawei/华为畅享20 5G芯片大电池智能手机华为手机5g手机华为官方旗舰店华为畅享205g,1699.0,广东深圳,华为官方旗舰店,4428
新品Xiaomi/小米 小米10至尊纪念版官方pro旗舰手机5G尊享9正品版,3518.0,广东深圳,heatlinda,1168
【3699起 24期免息 】小米/mi 小米10 5G旗舰新品骁龙865 1亿像素智能拍照小米官方旗舰正品5g手机全网通,3699.0,江苏南京,苏宁易购官方旗舰店,7000
直降140Xiaomi/小米 Redmi 9骁龙红米9a官方Pro手机正品note9 s新,555.0,广东深圳,heatlinda,4405
【明月灰开售】红米10x 4g 大电量存储游戏智能学生老年手机X10红米note8升级redmi小米官方旗舰店正品,999.0,北京,小米官方旗舰店,30000
【8GB版赠耳机】红米note8pro 6400万正品手机10全面屏千元拍照智能机学生老人小米官方旗舰店官网xiaomi,1099.0,北京,小米官方旗舰店,15000
12期免息领券减钱+送无线充】xiaomi/小米10手机5g官方正品旗舰店手机全网通小米10pro尊享骁龙865小米10直降,3599.0,广东深圳,机御旗舰店,1425
抢券可减300元】华为HONOR 荣耀X10手机5G全网通麒麟820官方旗舰店正品30s官网x10max荣耀10xpro新款,1899.0,广东深圳,机御旗舰店,1339
【11日至高省100】vivo iQOO Z1x新品5g官方旗舰店官网正品学生游戏手机爱酷vivoiqooz1x vivoz1x vivoz5x,1598.0,广东东莞,vivo官方旗舰店,6000
当天发货送小米背包]Redmi K30至尊纪念版小米10游戏5g手机120Hz智能官方旗舰店官网红米k30i 10x至尊 k30pro,2259.0,山东济南,三际数码官方旗舰店,2143
【12期免息赠耳机】vivo iQOO 5高通骁龙865处理器5g游戏学生新品手机官方旗舰店正品vivoiqoo5 vivo新iqoo,3998.0,广东东莞,vivo官方旗舰店,1243
【12期免息赠无线充】华为旗下荣耀V30 PRO手机新品双模麒麟990 5GSOC芯片相机矩阵正品,3699.0,广东深圳,荣耀官方旗舰店,2378
新品Lenovo/联想 拯救者电竞手机Pro 5G 骁龙865plus旗舰游戏手机,3699.0,广东深圳,69铺小a,1006
【当天发】Huawei/华为 nova 7 Pro 5G手机P40官方mate30新款nova6直降7se旗舰店nowa8正品p30畅享z荣耀10s,3399.0,安徽合肥,京合旗舰店,1643
上海 中兴守护宝F5Pro正品6.8英寸穿孔屏安卓八核8+128G智能手机4G全网通老人老年游戏学生价送华为小米耳机,589.0,广东深圳,世光创展数码专营店,3992
【咨询更优惠】蜜茶手机 iPhone xr 全网通双卡双待 全新正品国行XR苹果手机 iphone xr 苹果iphonexr 苹果xr,3549.0,山东烟台,虫马虫义数码专营店,431
【至高减600 整点赠移动电源】OPPO Ace2高通骁龙865双模5G全网通65W超闪全面屏游戏智能手机oppoace2,3499.0,广东东莞,oppo官方旗舰店,1862
【5G新款上市】OPPO A92S oppoa92s手机opop新r17 a11x r9s a72 k7 a9 reno3 oppo官网旗舰店官方0ppo手机a92,1999.0,广东深圳,智宏新创数码专营店,1240
Gionee/金立M30高端男士商务智能手机全面屏游戏4G全网通8+128G超长待机续航10000毫安P90官方旗舰店m2017,1379.0,广东深圳,蒙奇数码专营店,387
【限时至高省100】vivo iQOO Z1x新品5g官方旗舰店官网正品学生游戏手机爱酷vivoiqooz1x vivoz5 vivoz1x,1598.0,广东东莞,iqoo官方旗舰店,5500
